4/24/15 9:11 AM
Statistica del projecto

              	Segmentos	Parolas	Characteres (sin spatios)	Characteres (includente spatios)	#Files	
Total:        	     7985	  87562	                   475110	                          552481	    80	
Restante:     	     7869	  86541	                   469469	                          545934	    80	
Unic:         	     5559	  76278	                   405359	                          474656	    79	
Unic restante:	     5464	  75306	                   400061	                          468481	    79	


Statistica individual del file:

Nomine del file                                                        	Segmentos total	Segmentos cetere	Segmentos unic	Segmentos unic cetere	Parolas total	Parolas cetere	Parolas unic	Parolas unic cetere	Characteres total (sin spatios)	Characteres cetere (sin spatios)	Characteres unic (sin spatios)	Characteres unic cetere (sin spatios)	Characteres total (includente spatios)	Characteres cetere (includente spatios)	Characteres unic (includente spatios)	Characteres unic cetere (includente spatios)	
doc_src\en\Miscelanea.xml                                              	             64	              64	            61	                   61	         1104	          1104	        1093	               1093	                           5902	                            5902	                          5840	                                 5840	                                  6909	                                   6909	                                 6839	                                        6839	
doc_src\en\Menu.xml                                                    	            314	             314	           258	                  258	         2467	          2467	        2347	               2347	                          12669	                           12669	                         12051	                                12051	                                 14836	                                  14836	                                14154	                                       14154	
doc_src\en\MachineTranslation.xml                                      	             48	              48	            42	                   42	          936	           936	         924	                924	                           5153	                            5153	                          5044	                                 5044	                                  6035	                                   6035	                                 5924	                                        5924	
doc_src\en\license.txt                                                 	            209	             209	           197	                  197	         5658	          5658	        5646	               5646	                          29000	                           29000	                         28969	                                28969	                                 34155	                                  34155	                                34124	                                       34124	
doc_src\en\InstantStartGuide.xml                                       	             27	              27	            14	                   14	          761	           761	         654	                654	                           3651	                            3651	                          3092	                                 3092	                                  4364	                                   4364	                                 3720	                                        3720	
doc_src\en\InstallingAndRunning.xml                                    	            222	             222	           191	                  191	         3895	          3895	        3650	               3650	                          20488	                           20488	                         19101	                                19101	                                 24012	                                  24012	                                22432	                                       22432	
doc_src\en\Glossaries.xml                                              	             50	              50	            45	                   45	         1098	          1098	        1080	               1080	                           5551	                            5551	                          5441	                                 5441	                                  6599	                                   6599	                                 6476	                                        6476	
doc_src\en\FormattedText.xml                                           	             76	              76	            72	                   72	         1427	          1427	        1419	               1419	                           7318	                            7318	                          7265	                                 7265	                                  8664	                                   8664	                                 8607	                                        8607	
doc_src\en\Font.xml                                                    	             17	              16	             9	                    9	          106	           105	          90	                 90	                            535	                             531	                           442	                                  442	                                   626	                                    622	                                  525	                                         525	
doc_src\en\FilesToTranslate.xml                                        	             87	              87	            85	                   85	         1456	          1456	        1447	               1447	                           7465	                            7465	                          7420	                                 7420	                                  8837	                                   8837	                                 8785	                                        8785	
doc_src\en\FilesAndFolders.xml                                         	            103	             103	            99	                   99	         1477	          1477	        1473	               1473	                           8092	                            8092	                          8053	                                 8053	                                  9462	                                   9462	                                 9423	                                        9423	
doc_src\en\FilesAndDirectories.xml                                     	            104	             104	            10	                   10	         1478	          1478	         260	                260	                           8111	                            8111	                          1370	                                 1370	                                  9480	                                   9480	                                 1622	                                        1622	
doc_src\en\FileFilters.xml                                             	             98	              98	            87	                   87	         1778	          1778	        1679	               1679	                           9535	                            9535	                          9003	                                 9003	                                 11215	                                  11215	                                10593	                                       10593	
doc_src\en\EditingBehavior.xml                                         	             35	              35	            34	                   34	          738	           738	         732	                732	                           3836	                            3836	                          3809	                                 3809	                                  4538	                                   4538	                                 4506	                                        4506	
doc_src\en\Dictionaries.xml                                            	             27	              27	            25	                   25	          247	           247	         241	                241	                           1453	                            1453	                          1408	                                 1408	                                  1681	                                   1681	                                 1632	                                        1632	
doc_src\en\App_Website.xml                                             	             37	              37	            31	                   31	          419	           419	         394	                394	                           2449	                            2449	                          2202	                                 2202	                                  2783	                                   2783	                                 2536	                                        2536	
doc_src\en\App_Using_tokenizers_in_OmegaT.xml                          	             23	              23	            21	                   21	          517	           517	         515	                515	                           3201	                            3201	                          3174	                                 3174	                                  3670	                                   3670	                                 3643	                                        3643	
doc_src\en\App_Tokenizer_plugin.xml                                    	             14	              14	             9	                    9	          209	           209	         156	                156	                           1220	                            1220	                           876	                                  876	                                  1417	                                   1417	                                 1023	                                        1023	
doc_src\en\App_TeamProjects.xml                                        	             58	              58	            57	                   57	         1534	          1534	        1532	               1532	                           7880	                            7880	                          7857	                                 7857	                                  9359	                                   9359	                                 9336	                                        9336	
doc_src\en\App_ShortCutCustomization.xml                               	            251	             251	           164	                  164	          872	           872	         683	                683	                           6408	                            6408	                          5252	                                 5252	                                  6945	                                   6945	                                 5685	                                        5685	
doc_src\en\App_Scripting_plugin.xml                                    	             32	              32	            27	                   27	          549	           549	         548	                548	                           3052	                            3052	                          3036	                                 3036	                                  3578	                                   3578	                                 3562	                                        3562	
doc_src\en\App_LegalNotices.xml                                        	             18	              18	            13	                   13	          299	           299	         291	                291	                           1683	                            1683	                          1617	                                 1617	                                  1964	                                   1964	                                 1895	                                        1895	
doc_src\en\App_LanguageTool_plugin.xml                                 	             12	              12	             9	                    9	          201	           201	         196	                196	                           1118	                            1118	                          1071	                                 1071	                                  1304	                                   1304	                                 1255	                                        1255	
doc_src\en\App_Languages.xml                                           	            562	             562	           547	                  547	          656	           656	         641	                641	                           2846	                            2846	                          2758	                                 2758	                                  2932	                                   2932	                                 2844	                                        2844	
doc_src\en\App_Keyboard.xml                                            	             52	              52	            52	                   52	          385	           385	         385	                385	                           1802	                            1802	                          1802	                                 1802	                                  2112	                                   2112	                                 2112	                                        2112	
doc_src\en\App_Aknowledgements.xml                                     	             10	              10	            10	                   10	          197	           197	         197	                197	                           1033	                            1033	                          1033	                                 1033	                                  1216	                                   1216	                                 1216	                                        1216	
doc_src\en\AboutOmegaT.xml                                             	             30	              29	            30	                   29	          967	           964	         967	                964	                           5347	                            5323	                          5347	                                 5323	                                  6287	                                   6260	                                 6287	                                        6260	
doc_src\en\SearchAndReplace.xml                                        	             14	              14	            13	                   13	          207	           207	         205	                205	                           1053	                            1053	                          1041	                                 1041	                                  1248	                                   1248	                                 1235	                                        1235	
doc_src\en\TaaS.xml                                                    	             14	              14	            13	                   13	          266	           266	         265	                265	                           1545	                            1545	                          1539	                                 1539	                                  1781	                                   1781	                                 1775	                                        1775	
scripts\properties\check_rules.properties                              	             41	              41	            40	                   40	          129	           129	         128	                128	                            737	                             737	                           731	                                  731	                                   832	                                    832	                                  826	                                         826	
scripts\properties\search_replace.properties                           	              6	               6	             3	                    3	           16	            16	          11	                 11	                             98	                              98	                            69	                                   69	                                   109	                                    109	                                   78	                                          78	
scripts\properties\spellcheck.properties                               	             25	              24	            15	                   14	           65	            64	          45	                 44	                            386	                             376	                           275	                                  265	                                   426	                                    416	                                  305	                                         295	
scripts\properties\svn_cleanup_selected.properties                     	              6	               6	             6	                    6	           26	            26	          26	                 26	                            142	                             142	                           142	                                  142	                                   163	                                    163	                                  163	                                         163	
